MisconceptionName,LLM_Response
Does not know that angles in a triangle sum to 180 degrees,"Question Text: In a triangle, the two base angles are 60 degrees and 70 degrees. What is the measure of the third angle?
Correct Answer Text: 50 degrees
Wrong Answer Text: 130 degrees"
Uses dividing fractions method for multiplying fractions,"Question Text: What is \( \frac{1}{2} \times \frac{3}{4} \) ?
Correct Answer Text: \( \frac{1 \times 3}{2 \times 4} = \frac{3}{8} \)
Wrong Answer Text: \( \frac{1}{2} \div \frac{3}{4} = \frac{1}{2} \times \frac{4}{3} = \frac{4}{6} = \frac{2}{3} \)"
Believes there are 100 degrees in a full turn,"Question Text: A bicycle wheel makes a full turn. If it starts at 0 degrees, what angle will it be at the end of the turn?
Correct Answer Text: 360 degrees
Wrong Answer Text: 100 degrees"
"Thinks a quadratic without a non variable term, can not be factorised","Question Text: Can the quadratic expression \( x^2 + 5x \) be factorised?

Correct Answer Text: Yes, \( x^2 + 5x = x(x + 5) \)

Wrong Answer Text: No, it cannot be factorised because it does not have a constant term."
Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"Question Text: Simplify the expression \( 2x + 3x \) and \( 2x^3 \). Are they equal?
Correct Answer Text: No, \( 2x + 3x = 5x \) and \( 2x^3 \) is \( 2x \) cubed, they are not equal.
Wrong Answer Text: Yes, they are equal."
"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","Question Text: What is the size of the reflex angle shown in the diagram?


 Correct Answer Text: \( 240^{\circ} \)


 Wrong Answer Text: \( 120^{\circ} \)"
Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"Question Text: A recipe for making 6 cupcakes requires 3/4 cup of sugar. If you want to make 12 cupcakes, how much sugar do you need?
Correct Answer Text: 6/4 or 1 1/2 cups
Wrong Answer Text: 3/8 cup"
Believes gradient = change in y,"Question Text: A line on a graph goes through the points (2, 5) and (4, 9). What is the gradient of the line?
Correct Answer Text: \( \frac{9-5}{4-2}=2 \)
Wrong Answer Text: 4"
Student thinks that any two angles along a straight line are equal,"Question Text: 
Angles A and B are two angles along a straight line. If angle A is 60 degrees, what is the measure of angle B?

Correct Answer Text: 
120 degrees

Wrong Answer Text: 
60 degrees"
Thinks there are 180 degrees in a full turn,"Question Text: A car turns around in a circle to face the opposite direction. How many degrees has it turned?
Correct Answer Text: 180 is half a turn, so the car has turned 180 degrees to face the opposite direction, but a full turn would be 360 degrees.
Correct Answer Text: 360/2 = 180 degrees for half a turn, but for a full turn it is 360 degrees, so  360 degrees.
Wrong Answer Text: 180 degrees"
"Believes duration can be read from a timetable, rather than calculating from start and end times","Question Text: A train journey starts at 9:45 AM and ends at 11:15 AM. What is the duration of the journey?

Correct Answer Text: 1 hour 30 minutes

Wrong Answer Text: 11:15 AM"
"When reading value from graph, reads from the wrong axes.","Question Text: 
The graph below shows the relationship between the number of hours a machine operates and the amount of fuel it consumes.

[Insert a simple graph with hours on the x-axis and fuel consumption on the y-axis, with a clear point at (5, 20)]

If the machine operates for 5 hours, how much fuel does it consume?

Correct Answer Text: 20 units

Wrong Answer Text: 5 units"
Thinks that the side view does not include the furthest rows back,"Question Text: A cinema has 15 rows of seats with 20 seats in each row. If the cinema is full, how many people can be seen in a side view photograph of the audience?
Correct Answer Text: 20
Wrong Answer Text: 15 x 20 = 300"
"Does not subtract from the hours, when having to borrow for a time calculation","Question Text: Sarah starts watching a movie at 9:45 AM. The movie lasts for 2 hours and 10 minutes. What time will the movie finish?
Correct Answer Text: 11:55 AM
Wrong Answer Text: 11:05 AM"
Does not understand how to create a multiple of an equation,"Question Text: If \( 2x+5=11 \), what is the equation if you multiply both sides by 3?
Correct Answer Text: \( 6x+15=33 \)
Wrong Answer Text: \( 2x+5=33 \)"
"Confuses the order of operations, believes addition comes before division","Question Text: 
\[
12 \div 3+2
\]
Where do the brackets need to go to make the answer equal \( 6 \) ?

Correct Answer Text: 
\( (12 \div 3)+2 \) or No brackets needed

Wrong Answer Text: 
\( 12 \div(3+2) \)"
